activity_name,date,type,total_distance_km,total_time_seconds,moving_time_seconds,average_speed_km_h,max_speed_km_h,total_elevation_gain,average_heart_rate,max_heart_rate,suffer_score,average_watts,max_watts,total_steps,average_stride_length,average_cadence
Course à pied le matin,2024-08-17T09:04:54Z,Run,8.59,2850,2850,10.85,22.56,50.6,162.1,175.0,78.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-08-13T18:48:18Z,Run,5.73,1749,1722,11.97,23.18,0.0,168.8,188.0,60.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-08-13T18:28:45Z,Run,3.18,1131,1116,10.26,15.62,12.3,140.7,151.0,6.0,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-08-08T17:20:21Z,Run,10.12,3772,3330,10.94,22.05,59.5,164.4,176.0,91.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-08-04T20:40:36Z,Run,4.17,1280,1280,11.73,16.16,41.0,159.1,168.0,31.0,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2024-07-31T09:19:56Z,Run,22.02,8267,7537,10.52,17.54,299.8,167.1,184.0,230.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-07-28T19:26:15Z,Run,8.03,2884,2669,10.84,16.21,118.2,168.9,185.0,90.0,N/A,N/A,N/A,N/A,N/A
Course à pied de nuit,2024-07-24T21:05:07Z,Run,5.28,1534,1428,13.31,20.71,53.9,171.2,185.0,52.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-07-23T20:42:34Z,Run,4.19,1723,1639,9.2,17.68,3.7,136.4,171.0,7.0,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-07-21T15:23:12Z,Run,21.27,6704,6692,11.44,15.56,141.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Night Run,2024-07-16T21:18:04Z,Run,5.0,1367,1230,14.64,27.4,7.2,N/A,N/A,61.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-07-05T18:58:51Z,Run,10.54,3489,3372,11.26,20.32,72.7,167.7,179.0,107.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-07-03T18:24:26Z,Run,3.82,1443,1425,9.66,14.58,18.7,139.5,169.0,10.0,N/A,N/A,N/A,N/A,N/A
Course à pied le midi,2024-06-30T11:39:58Z,Run,12.03,4054,3851,11.24,24.48,64.7,165.7,175.0,109.0,N/A,N/A,N/A,N/A,N/A
Course à pied le midi,2024-06-28T12:10:30Z,Run,7.62,3488,3370,8.14,29.43,47.3,132.3,150.0,13.0,N/A,N/A,N/A,N/A,N/A
Course à pied de nuit,2024-06-27T21:42:21Z,Run,5.03,1439,1435,12.62,19.36,18.8,166.4,181.0,44.0,N/A,N/A,N/A,N/A,N/A
Course à pied avec double J,2024-06-23T17:40:21Z,Run,11.13,4808,3660,10.95,31.19,60.2,156.3,181.0,68.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-06-20T19:13:29Z,Run,7.59,2504,2353,11.61,16.93,45.3,163.8,176.0,64.0,N/A,N/A,N/A,N/A,N/A
La montre pete un cable,2024-06-18T19:29:31Z,Run,7.35,466,466,56.79,14.14,10.5,180.0,184.0,23.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-05-30T19:08:06Z,Run,5.04,1503,1503,12.06,17.52,40.4,177.2,187.0,70.0,N/A,N/A,N/A,N/A,N/A
Night Run,2024-04-15T20:52:49Z,Run,5.0,1374,1351,13.33,19.31,22.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morning Run,2023-03-26T09:25:21Z,Run,5.92,2108,2096,10.17,15.37,5.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2023-02-28T17:48:22Z,Run,2.79,933,929,10.83,27.86,22.6,161.9,175.0,24.0,N/A,N/A,N/A,N/A,N/A
Afternoon Run,2023-02-28T17:35:13Z,Run,5.44,2234,2024,9.68,14.42,85.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2023-02-21T07:45:19Z,Run,4.72,1594,1456,11.67,20.14,28.8,173.1,187.0,24.0,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2023-02-05T07:53:28Z,Run,7.24,2503,2428,10.74,24.66,46.6,156.7,186.0,49.0,N/A,N/A,N/A,N/A,N/A
À la fraiche ,2023-01-22T07:53:40Z,Run,4.33,1751,1596,9.76,22.34,40.4,144.9,163.0,13.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2023-01-20T18:09:51Z,Run,12.75,3847,3631,12.64,20.31,48.6,173.5,188.0,148.0,N/A,N/A,N/A,N/A,N/A
Afternoon Run,2022-12-20T14:43:33Z,Run,5.5,2063,2051,9.66,15.15,6.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Avec le Val,2022-11-27T08:25:09Z,Run,4.95,1993,1947,9.15,17.64,31.2,151.5,177.0,31.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2022-09-15T18:28:30Z,Run,5.29,2746,2532,7.52,25.29,39.9,156.8,200.0,30.0,N/A,N/A,N/A,N/A,N/A
Course à pied de nuit,2022-08-30T21:23:22Z,Run,1.81,427,419,15.53,21.74,0.0,158.6,191.0,9.0,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2022-06-11T16:12:09Z,Run,4.81,1419,1293,13.4,20.31,4.5,171.6,189.0,45.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2022-06-02T18:34:05Z,Run,2.48,935,623,14.32,19.05,4.9,163.7,178.0,17.0,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2022-06-02T17:24:04Z,Run,2.43,650,650,13.47,16.91,6.7,163.7,177.0,17.0,N/A,N/A,N/A,N/A,N/A
Course à pied l'après-midi,2022-05-21T17:18:47Z,Run,3.97,1148,1148,12.45,20.66,6.7,167.5,182.0,39.0,N/A,N/A,N/A,N/A,N/A
Course à pied l'après-midi,2022-05-15T15:24:04Z,Run,3.99,1141,1141,12.58,16.68,7.0,152.7,172.0,17.0,N/A,N/A,N/A,N/A,N/A
1ere sortie depuis rupture LCA,2022-05-09T18:24:34Z,Run,2.38,877,867,9.89,16.64,7.2,159.9,171.0,22.0,N/A,N/A,N/A,N/A,N/A
Course à pied le soir,2021-08-18T20:33:27Z,Run,5.0,1898,1398,12.87,24.12,56.3,164.5,195.0,41.0,N/A,N/A,N/A,N/A,N/A
Course à pied matinale,2021-07-21T09:06:39Z,Run,9.83,3966,3507,10.09,13.68,2.3,153.2,162.0,63.0,N/A,N/A,N/A,N/A,N/A
Course à pied l'après-midi,2021-07-15T17:33:32Z,Run,7.99,2576,2513,11.44,24.84,80.1,163.2,192.0,67.0,N/A,N/A,N/A,N/A,N/A
Course à pied l'après-midi,2021-06-24T14:23:33Z,Run,8.58,3149,2593,11.91,30.24,48.6,166.4,188.0,78.0,N/A,N/A,N/A,N/A,N/A
Course à pied le midi,2021-06-20T11:59:46Z,Run,8.01,2699,2397,12.03,29.52,52.1,179.7,193.0,118.0,N/A,N/A,N/A,N/A,N/A
Course à pied matinale,2021-06-12T09:01:14Z,Run,10.05,2950,2874,12.59,20.88,55.0,173.3,185.0,116.0,N/A,N/A,N/A,N/A,N/A
Course à pied l'après-midi,2021-06-03T13:43:16Z,Run,7.92,2684,2390,11.93,19.08,122.5,167.0,194.0,73.0,N/A,N/A,N/A,N/A,N/A
Course à pied le soir,2021-06-01T19:28:05Z,Run,8.6,5094,2505,12.36,18.72,8.4,172.0,191.0,97.0,N/A,N/A,N/A,N/A,N/A
Course à pied l'après-midi,2021-05-10T16:38:40Z,Run,8.61,2536,2487,12.46,19.44,122.5,162.1,181.0,64.0,N/A,N/A,N/A,N/A,N/A
Course à pied l'après-midi,2021-04-29T16:51:13Z,Run,8.14,2859,2816,10.4,16.56,86.1,147.3,162.0,36.0,N/A,N/A,N/A,N/A,N/A
Course à pied le soir,2021-04-19T18:13:35Z,Run,13.05,4005,3771,12.46,17.28,68.6,174.5,186.0,155.0,N/A,N/A,N/A,N/A,N/A
