activity_name,date,type,total_distance_km,total_time_seconds,moving_time_seconds,average_speed_km_h,max_speed_km_h,calories,total_elevation_gain,total_elevation_loss,average_grade,average_heart_rate,max_heart_rate,suffer_score,heart_rate_zone1_time,heart_rate_zone2_time,heart_rate_zone3_time,heart_rate_zone4_time,heart_rate_zone5_time,average_watts,max_watts,normalized_power,total_steps,average_stride_length,average_cadence,start_latitude,start_longitude,start_altitude,end_latitude,end_longitude,end_altitude
Course à pied dans l'après-midi,2024-09-24T15:13:40Z,Run,11.66,3600,3593,11.68,16.92,N/A,21.0,0,N/A,151.0,177.0,102.0,N/A,N/A,N/A,N/A,N/A,280.0,371,N/A,N/A,N/A,80.1,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2024-09-22T10:37:17Z,Run,17.46,5798,5794,10.85,24.84,N/A,143.0,0,N/A,154.0,177.0,178.0,N/A,N/A,N/A,N/A,N/A,264.0,409,N/A,N/A,N/A,79.5,N/A,N/A,N/A,N/A,N/A,N/A
course à pied l'après midi,2024-09-21T14:07:44Z,Run,6.83,2155,2155,11.41,16.92,N/A,10.0,0,N/A,144.7,178.0,45.0,N/A,N/A,N/A,N/A,N/A,267.4,366,N/A,N/A,N/A,79.8,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-09-19T13:05:23Z,Run,10.25,3644,3632,10.16,19.39,N/A,51.8,0,N/A,147.3,171.0,69.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-09-17T15:35:52Z,Run,9.5,2844,2844,12.03,19.21,N/A,13.5,0,N/A,155.9,181.0,79.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trail dans l'après-midi,2024-09-15T15:14:11Z,Run,10.03,5028,3506,10.3,19.6,N/A,315.0,0,N/A,147.5,174.0,64.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-09-14T15:38:15Z,Run,5.37,1593,1590,12.15,24.14,N/A,11.5,0,N/A,158.9,190.0,51.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-09-12T13:36:55Z,Run,8.2,2601,2601,11.35,20.04,N/A,17.7,0,N/A,162.1,184.0,94.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-09-10T18:53:48Z,Run,8.13,2786,2786,10.5,16.87,N/A,11.2,0,N/A,140.0,157.0,15.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2024-09-08T08:37:02Z,Run,5.33,1911,1907,10.07,18.58,N/A,6.8,0,N/A,144.3,161.0,14.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-09-07T14:59:41Z,Run,10.35,3626,3178,11.72,19.86,N/A,84.8,0,N/A,166.3,184.0,95.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
