activity_name,date,average_heart_rate,total_time_seconds,total_distance_km,total_elevation_gain,average_speed_km_h,max_speed_km_h,calories
Course à pied dans l'après-midi,2022-06-11T16:12:09Z,171.6,1419,4.81,4.5,13.4,20.31,N/A
Course à pied en soirée,2022-06-02T18:34:05Z,163.7,935,2.48,4.9,14.32,19.05,N/A
Course à pied dans l'après-midi,2022-06-02T17:24:04Z,163.7,650,2.43,6.7,13.47,16.91,N/A
Course à pied l'après-midi,2022-05-21T17:18:47Z,167.5,1148,3.97,6.7,12.45,20.66,N/A
Course à pied l'après-midi,2022-05-15T15:24:04Z,152.7,1141,3.99,7.0,12.58,16.68,N/A
1ere sortie depuis rupture LCA,2022-05-09T18:24:34Z,159.9,877,2.38,7.2,9.89,16.64,N/A
Course à pied le soir,2021-08-18T20:33:27Z,164.5,1898,5.0,56.3,12.87,24.12,N/A
Course à pied matinale,2021-07-21T09:06:39Z,153.2,3966,9.83,2.3,10.09,13.68,N/A
Course à pied l'après-midi,2021-07-15T17:33:32Z,163.2,2576,7.99,80.1,11.44,24.84,N/A
Course à pied l'après-midi,2021-06-24T14:23:33Z,166.4,3149,8.58,48.6,11.91,30.24,N/A
Course à pied le midi,2021-06-20T11:59:46Z,179.7,2699,8.01,52.1,12.03,29.52,N/A
Course à pied matinale,2021-06-12T09:01:14Z,173.3,2950,10.05,55.0,12.59,20.88,N/A
Course à pied l'après-midi,2021-06-03T13:43:16Z,167.0,2684,7.92,122.5,11.93,19.08,N/A
Course à pied le soir,2021-06-01T19:28:05Z,172.0,5094,8.6,8.4,12.36,18.72,N/A
Course à pied l'après-midi,2021-05-10T16:38:40Z,162.1,2536,8.61,122.5,12.46,19.44,N/A
Course à pied l'après-midi,2021-04-29T16:51:13Z,147.3,2859,8.14,86.1,10.4,16.56,N/A
Course à pied le soir,2021-04-19T18:13:35Z,174.5,4005,13.05,68.6,12.46,17.28,N/A
